Unnamed: 0,fixed_code,buggy_code,gumtree_baseline,line_in_dataset,gpt_attempt1,baseline_nodes,gpt_nodes,node_set_match,jaccard_score,precision,recall,f1_score,tp,fp,fn
378,378,"private java.lang.String METHOD_1 ( ) { TYPE_1 answer = METHOD_2 ( ) ; if ( answer == null ) { return STRING_1 ; } else if ( VAR_1 . equals ( VAR_2 ) ) { return ""0"" ; } return answer . METHOD_3 ( ) ; }",private java.lang.String METHOD_1 ( ) { TYPE_1 answer = METHOD_2 ( ) ; if ( answer == null ) { return STRING_1 ; } return answer . METHOD_3 ( ) ; },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete Literal', 'Delete Return', 'Delete Block', 'Delete If', 'Delete Block']",442,"['Delete Invocation', 'Delete Return']","['TypeAccess', 'TypeAccess', 'Invocation', 'Literal', 'Return', 'Block', 'If', 'Block']","['Invocation', 'Return']",GPT Missed Nodes,0.3333333333333333,1.0,0.25,0.4,2,0,6
379,379,public java.util.Collection < TYPE_1 > METHOD_1 ( TYPE_1 VAR_1 ) { java.lang.System.out.println ( INT_1 ) ; return null ; },public java.util.Collection < TYPE_1 > METHOD_1 ( TYPE_1 VAR_1 ) { return null ; },"['Delete TypeAccess', 'Delete FieldRead', 'Delete TypeAccess', 'Delete Invocation']",443,['Delete Invocation'],"['TypeAccess', 'FieldRead', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.25,0.4,1,0,3
380,380,public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( ) ; METHOD_3 ( ) ; VAR_2 . METHOD_4 ( ) ; super . METHOD_1 ( ) ; },public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( ) ; METHOD_3 ( ) ; super . METHOD_1 ( ) ; },"['Delete TypeAccess', 'Delete Invocation']",444,['Delete Invocation'],"['TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.5,0.6666666666666666,1,0,1
381,381,public java.lang.String METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . info ( ( STRING_1 + ( TYPE_1 . METHOD_2 ( VAR_1 ) . METHOD_3 ( STRING_2 ) ) ) ) ; return STRING_3 + ( TYPE_1 . METHOD_2 ( VAR_1 ) . METHOD_3 ( STRING_2 ) ) ; },public java.lang.String METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . info ( ( STRING_1 + ( TYPE_1 . METHOD_2 ( VAR_1 ) . METHOD_3 ( STRING_2 ) ) ) ) ; return STRING_3 + VAR_1 ; },"['Move VariableRead', 'Delete TypeAccess', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation']",445,['Delete Invocation'],"['VariableRead', 'TypeAccess', 'Invocation', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.2,0.33333333333333337,1,0,4
382,382,"public TYPE_1 METHOD_1 ( ) { return new TYPE_1 ( VAR_1 . METHOD_2 ( ) , VAR_2 . METHOD_3 ( ) ) ; }",public TYPE_1 METHOD_1 ( ) { return new TYPE_1 ( VAR_1 . METHOD_2 ( ) ) ; },"['Delete TypeAccess', 'Delete Invocation']",447,['Delete Invocation'],"['TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.5,0.6666666666666666,1,0,1
383,383,protected void execute ( ) { VAR_1 . METHOD_1 ( VAR_2 . METHOD_2 ( ) ) ; },protected void execute ( ) { VAR_1 . METHOD_1 ( ) ; },"['Delete TypeAccess', 'Delete Invocation']",448,['Delete Invocation'],"['TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.5,0.6666666666666666,1,0,1
384,384,public void update ( ) { view . METHOD_1 ( VAR_1 ) ; },public void update ( ) { },"['Delete FieldRead', 'Delete TypeAccess', 'Delete Invocation']",451,['Delete Invocation'],"['FieldRead', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
385,385,"public void METHOD_1 ( android.view.View VAR_1 ) { TYPE_1 . METHOD_2 ( STRING_1 , VAR_2 ) ; METHOD_3 ( TYPE_1 ) ; }",public void METHOD_1 ( android.view.View VAR_1 ) { METHOD_3 ( TYPE_1 ) ; },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",452,['Delete Invocation'],"['TypeAccess', 'TypeAccess', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.25,0.4,1,0,3
386,386,public void METHOD_1 ( TYPE_1 result ) { VAR_1 . METHOD_2 ( VAR_2 ) ; VAR_1 . METHOD_2 ( this ) ; },public void METHOD_1 ( TYPE_1 result ) { VAR_1 . METHOD_2 ( VAR_2 ) ; },"['Delete TypeAccess', 'Delete ThisAccess', 'Delete Invocation']",453,['Delete Invocation'],"['TypeAccess', 'ThisAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
387,387,"public void METHOD_1 ( java.lang.String [ ] VAR_1 ) { this . VAR_1 = TYPE_1 . METHOD_2 ( VAR_1 , VAR_2 . length ) ; }",public void METHOD_1 ( java.lang.String [ ] VAR_1 ) { this . VAR_1 = VAR_1 ; },"['Move VariableRead', 'Delete TypeAccess', 'Delete FieldRead', 'Delete Invocation']",454,"['Delete Invocation', 'Delete TypeAccess']","['VariableRead', 'TypeAccess', 'FieldRead', 'Invocation']","['Invocation', 'TypeAccess']",GPT Missed Nodes,0.5,1.0,0.5,0.6666666666666666,2,0,2
388,388,protected void METHOD_1 ( java.lang.Void VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; ( ( TYPE_1 ) ( VAR_2 ) ) . METHOD_2 ( VAR_3 ) ; },protected void METHOD_1 ( java.lang.Void VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; ( ( TYPE_1 ) ( VAR_2 ) ) . METHOD_2 ( ) ; },['Delete TypeAccess'],455,['Delete VariableRead'],['TypeAccess'],['VariableRead'],Partial Match,0.0,0.0,0.0,0.0,0,1,1
389,389,public void METHOD_1 ( android.view.View view ) { METHOD_2 ( null ) ; VAR_1 = VAR_2 ; METHOD_3 ( null ) ; VAR_3 . METHOD_4 ( VAR_4 ) ; },public void METHOD_1 ( android.view.View view ) { METHOD_2 ( null ) ; VAR_1 = VAR_2 ; METHOD_3 ( null ) ; },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",456,['Delete Invocation'],"['TypeAccess', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.3333333333333333,0.5,1,0,2
390,390,public void METHOD_1 ( TYPE_1 context ) { context . METHOD_2 ( VAR_1 ) ; context . METHOD_3 ( VAR_2 ) ; },public void METHOD_1 ( TYPE_1 context ) { context . METHOD_2 ( VAR_1 ) ; },"['Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation']",457,['Delete Invocation'],"['VariableRead', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
391,391,"public void METHOD_1 ( ) { try { METHOD_2 ( ) ; METHOD_3 ( ) ; METHOD_4 ( ) ; } catch ( java.lang.Exception VAR_1 ) { VAR_2 . error ( STRING_1 , VAR_1 ) ; java.lang.System.exit ( ( - 1 ) ) ; } }","public void METHOD_1 ( ) { try { METHOD_2 ( ) ; METHOD_3 ( ) ; } catch ( java.lang.Exception VAR_1 ) { VAR_2 . error ( STRING_1 , VAR_1 ) ; java.lang.System.exit ( ( - 1 ) ) ; } }",['Delete Invocation'],458,['Delete Invocation'],['Invocation'],['Invocation'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
392,392,"public int METHOD_1 ( java.util.Map < java.lang.String , java.lang.Object > param ) throws java.lang.Exception { VAR_1 . METHOD_2 ( ( STRING_1 + param ) ) ; return VAR_2 . METHOD_3 ( param ) ; }","public int METHOD_1 ( java.util.Map < java.lang.String , java.lang.Object > param ) throws java.lang.Exception { return VAR_2 . METHOD_3 ( param ) ; }","['Delete TypeAccess', 'Delete FieldRead', 'Delete VariableRead', 'Delete BinaryOperator', 'Delete Invocation']",459,['Delete Invocation'],"['TypeAccess', 'FieldRead', 'VariableRead', 'BinaryOperator', 'Invocation']",['Invocation'],GPT Missed Nodes,0.2,1.0,0.2,0.33333333333333337,1,0,4
393,393,"public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.String VAR_2 ) { VAR_3 . METHOD_2 ( VAR_4 ) ; super . METHOD_1 ( VAR_1 , VAR_2 ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.String VAR_2 ) { super . METHOD_1 ( VAR_1 , VAR_2 ) ; }","['Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",460,['Delete Invocation'],"['TypeAccess', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.3333333333333333,0.5,1,0,2
394,394,"public void METHOD_1 ( java.lang.String result ) { METHOD_2 ( VAR_1 , result ) ; android.content.Intent i = new android.content.Intent ( this , VAR_2 class ) ; METHOD_3 ( i ) ; this . METHOD_4 ( ) ; }","public void METHOD_1 ( java.lang.String result ) { android.content.Intent i = new android.content.Intent ( this , VAR_2 class ) ; METHOD_3 ( i ) ; this . METHOD_4 ( ) ; }","['Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation']",461,['Delete Invocation'],"['TypeAccess', 'VariableRead', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
395,395,public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 . METHOD_2 ( METHOD_3 ( ) ) ; VAR_3 . METHOD_4 ( ) ; },public void METHOD_1 ( android.view.View VAR_1 ) { VAR_3 . METHOD_4 ( ) ; },"['Delete TypeAccess', 'Delete Invocation', 'Delete Invocation']",463,['Delete Invocation'],"['TypeAccess', 'Invocation', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.3333333333333333,0.5,1,0,2
396,396,"public void METHOD_1 ( TYPE_1 VAR_1 , int id ) { VAR_2 = VAR_3 . METHOD_2 ( null , VAR_4 ) ; METHOD_3 ( VAR_2 ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , int id ) { VAR_2 = VAR_3 . METHOD_2 ( null ) ; METHOD_3 ( VAR_2 ) ; }",['Delete TypeAccess'],464,['Delete VariableRead'],['TypeAccess'],['VariableRead'],Partial Match,0.0,0.0,0.0,0.0,0,1,1
397,397,public int METHOD_1 ( ) { METHOD_2 ( this . VAR_1 ) ; return VAR_2 ; },public void METHOD_1 ( ) { METHOD_2 ( this . VAR_1 ) ; },"['Update TypeReference', 'Delete FieldRead', 'Delete Return']",465,"['Update TypeAccess', 'Delete Return']","['TypeReference', 'FieldRead', 'Return']","['TypeAccess', 'Return']",Partial Match,0.25,0.5,0.3333333333333333,0.4,1,1,2
398,398,public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 . setEnabled ( true ) ; VAR_3 . setEnabled ( false ) ; METHOD_2 ( VAR_4 ) ; },public void METHOD_1 ( android.view.View VAR_1 ) { METHOD_2 ( VAR_4 ) ; },"['Delete TypeAccess', 'Delete Literal', 'Delete Invocation', 'Delete TypeAccess', 'Delete Literal', 'Delete Invocation']",467,"['Delete Invocation', 'Delete Invocation']","['TypeAccess', 'Literal', 'Invocation', 'TypeAccess', 'Literal', 'Invocation']","['Invocation', 'Invocation']",GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,2,0,4
399,399,public void METHOD_1 ( TYPE_1 VAR_1 ) { METHOD_2 ( STRING_1 ) ; METHOD_3 ( false ) ; METHOD_4 ( true ) ; METHOD_5 ( VAR_1 ) ; METHOD_6 ( true ) ; METHOD_7 ( false ) ; METHOD_8 ( false ) ; },public void METHOD_1 ( TYPE_1 VAR_1 ) { METHOD_2 ( STRING_1 ) ; METHOD_5 ( VAR_1 ) ; METHOD_6 ( true ) ; METHOD_7 ( false ) ; METHOD_8 ( false ) ; },"['Delete Literal', 'Delete Invocation', 'Delete Literal', 'Delete Invocation']",468,"['Delete Invocation', 'Delete Invocation']","['Literal', 'Invocation', 'Literal', 'Invocation']","['Invocation', 'Invocation']",GPT Missed Nodes,0.5,1.0,0.5,0.6666666666666666,2,0,2
400,400,public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 . METHOD_2 ( VAR_3 ) ; VAR_4 . METHOD_3 ( VAR_5 ) ; VAR_6 . METHOD_3 ( VAR_7 ) ; VAR_8 . METHOD_3 ( VAR_7 ) ; METHOD_4 ( ) ; TYPE_1 . METHOD_5 ( ) ; },public void METHOD_1 ( android.view.View VAR_1 ) { VAR_4 . METHOD_3 ( VAR_5 ) ; VAR_6 . METHOD_3 ( VAR_7 ) ; VAR_8 . METHOD_3 ( VAR_7 ) ; METHOD_4 ( ) ; TYPE_1 . METHOD_5 ( ) ; },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",469,['Delete Invocation'],"['TypeAccess', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.3333333333333333,0.5,1,0,2
401,401,protected void METHOD_1 ( ) { METHOD_2 ( ) ; METHOD_3 ( ) ; super . METHOD_1 ( ) ; },protected void METHOD_1 ( ) { METHOD_3 ( ) ; super . METHOD_1 ( ) ; },['Delete Invocation'],470,['Delete Invocation'],['Invocation'],['Invocation'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
402,402,public boolean METHOD_1 ( TYPE_1 VAR_1 ) { VAR_1 . METHOD_2 ( ) . METHOD_3 ( VAR_2 ) ; VAR_1 . METHOD_4 ( ) . METHOD_3 ( VAR_3 ) ; VAR_4 . METHOD_5 ( VAR_5 ) ; return true ; },public boolean METHOD_1 ( TYPE_1 VAR_1 ) { VAR_1 . METHOD_2 ( ) . METHOD_3 ( VAR_2 ) ; VAR_1 . METHOD_4 ( ) . METHOD_3 ( VAR_2 ) ; VAR_4 . METHOD_5 ( VAR_5 ) ; return true ; },['Update TypeAccess'],471,['Update Invocation'],['TypeAccess'],['Invocation'],Partial Match,0.0,0.0,0.0,0.0,0,1,1
403,403,public void METHOD_1 ( android.view.View view ) { VAR_1 . get ( i ) . METHOD_2 ( false ) ; VAR_2 . METHOD_3 ( VAR_3 ) ; VAR_4 . METHOD_3 ( VAR_5 ) ; },public void METHOD_1 ( android.view.View view ) { VAR_2 . METHOD_3 ( VAR_3 ) ; VAR_4 . METHOD_3 ( VAR_5 ) ; },"['Delete TypeAccess', 'Delete FieldRead', 'Delete Invocation', 'Delete Literal', 'Delete Invocation']",472,['Delete Invocation'],"['TypeAccess', 'FieldRead', 'Invocation', 'Literal', 'Invocation']",['Invocation'],GPT Missed Nodes,0.25,1.0,0.2,0.33333333333333337,1,0,4
404,404,void METHOD_1 ( ) { if ( ( VAR_1 ) == null ) { METHOD_2 ( ) ; } if ( ( VAR_2 ) == null ) { METHOD_2 ( ) ; } this . VAR_3 . toString ( ) ; },void METHOD_1 ( ) { if ( ( VAR_1 ) == null ) { METHOD_2 ( ) ; } if ( ( VAR_2 ) == null ) { METHOD_2 ( ) ; } },"['Delete ThisAccess', 'Delete FieldRead', 'Delete Invocation']",473,['Delete Invocation'],"['ThisAccess', 'FieldRead', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
405,405,"public void METHOD_1 ( TYPE_1 < ? > VAR_1 , android.view.View view , int i , long VAR_2 ) { java.lang.String VAR_3 = VAR_4 . getText ( ) . toString ( ) ; METHOD_2 ( VAR_3 ) ; VAR_4 . setText ( STRING_1 ) ; }","public void METHOD_1 ( TYPE_1 < ? > VAR_1 , android.view.View view , int i , long VAR_2 ) { java.lang.String VAR_3 = VAR_4 . getText ( ) . toString ( ) ; METHOD_2 ( VAR_3 ) ; }","['Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",474,['Delete Invocation'],"['TypeAccess', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.3333333333333333,0.5,1,0,2
406,406,"public void METHOD_1 ( ) { METHOD_2 ( ) ; VAR_1 = true ; view . METHOD_3 ( VAR_1 ) ; VAR_2 . METHOD_4 ( new TYPE_1 ( VAR_2 . METHOD_5 ( ) . getName ( ) , STRING_1 , VAR_3 ) ) ; }","public void METHOD_1 ( ) { VAR_1 = true ; view . METHOD_3 ( VAR_1 ) ; VAR_2 . METHOD_4 ( new TYPE_1 ( VAR_2 . METHOD_5 ( ) . getName ( ) , STRING_1 , VAR_3 ) ) ; }",['Delete Invocation'],475,['Delete Invocation'],['Invocation'],['Invocation'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
407,407,public void METHOD_1 ( TYPE_1 VAR_1 ) { this . VAR_1 = VAR_1 ; if ( ( VAR_2 ) instanceof TYPE_2 ) { this . VAR_1 . METHOD_2 ( ( ( TYPE_2 ) ( VAR_2 ) ) . METHOD_3 ( ) . METHOD_4 ( ) ) ; } },public void METHOD_1 ( TYPE_1 VAR_1 ) { this . VAR_1 = VAR_1 ; if ( ( VAR_2 ) instanceof TYPE_2 ) { VAR_1 . METHOD_2 ( ( ( TYPE_2 ) ( VAR_2 ) ) . METHOD_3 ( ) . METHOD_4 ( ) ) ; } },"['Insert VariableRead', 'Delete ThisAccess', 'Delete FieldRead']",476,['Delete TypeAccess'],"['VariableRead', 'ThisAccess', 'FieldRead']",['TypeAccess'],Partial Match,0.0,0.0,0.0,0.0,0,1,3
408,408,public void METHOD_1 ( final TYPE_1 function ) { if ( VAR_1 . isEmpty ( ) ) { VAR_2 . METHOD_2 ( function ) ; } else { VAR_2 . METHOD_3 ( ) ; VAR_2 . METHOD_2 ( function ) ; } },public void METHOD_1 ( final TYPE_1 function ) { VAR_2 . METHOD_3 ( ) ; VAR_2 . METHOD_2 ( function ) ; },"['Move Invocation', 'Move Invocation', 'Delete TypeAccess', 'Delete Invocation', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete Block', 'Delete Block', 'Delete If']",477,['Delete Invocation'],"['Invocation', 'Invocation', 'TypeAccess', 'Invocation', 'TypeAccess', 'VariableRead', 'Invocation', 'Block', 'Block', 'If']",['Invocation'],GPT Missed Nodes,0.2,1.0,0.1,0.18181818181818182,1,0,9
409,409,public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( 1 ) ; },public void METHOD_1 ( ) { },"['Delete TypeAccess', 'Delete Literal', 'Delete Invocation']",478,['Delete Invocation'],"['TypeAccess', 'Literal', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
410,410,"public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 , int VAR_3 ) { java.lang.System.out.println ( STRING_1 ) ; super . METHOD_1 ( VAR_1 , VAR_2 , VAR_3 ) ; VAR_4 . METHOD_2 ( VAR_2 , VAR_3 ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 , int VAR_3 ) { super . METHOD_1 ( VAR_1 , VAR_2 , VAR_3 ) ; VAR_4 . METHOD_2 ( VAR_2 , VAR_3 ) ; }","['Delete TypeAccess', 'Delete FieldRead', 'Delete TypeAccess', 'Delete Invocation']",479,['Delete Invocation'],"['TypeAccess', 'FieldRead', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.25,0.4,1,0,3
411,411,public void METHOD_1 ( ) { if ( ( ( VAR_1 ) != null ) && ( ! ( VAR_2 . METHOD_2 ( ) ) ) ) { VAR_1 . METHOD_3 ( ) ; init ( ) ; VAR_3 . start ( ) ; } },public void METHOD_1 ( ) { if ( ( ( VAR_1 ) != null ) && ( ! ( VAR_2 . METHOD_2 ( ) ) ) ) { init ( ) ; VAR_3 . start ( ) ; } },"['Delete TypeAccess', 'Delete Invocation']",481,['Delete Invocation'],"['TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.5,0.6666666666666666,1,0,1
412,412,"public int METHOD_1 ( ) { return TYPE_1 . METHOD_2 ( VAR_1 , VAR_2 , names , VAR_3 , VAR_4 , values , VAR_5 ) ; }","public int METHOD_1 ( ) { return TYPE_1 . METHOD_2 ( VAR_1 , names , VAR_3 , VAR_4 , values ) ; }","['Delete TypeAccess', 'Delete TypeAccess']",483,"['Delete Invocation', 'Delete Invocation']","['TypeAccess', 'TypeAccess']","['Invocation', 'Invocation']",Partial Match,0.0,0.0,0.0,0.0,0,2,2
413,413,public void start ( ) { VAR_1 . info ( STRING_1 ) ; VAR_2 . start ( ) ; },public void start ( ) { VAR_2 . start ( ) ; },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",484,['Delete Invocation'],"['TypeAccess', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.3333333333333333,0.5,1,0,2
414,414,"public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 . add ( VAR_3 . get ( position ) . getName ( ) ) ; VAR_4 . add ( position ) ; VAR_5 . i ( STRING_1 , STRING_2 ) ; }","public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 . add ( VAR_3 . get ( position ) . getName ( ) ) ; VAR_5 . i ( STRING_1 , STRING_2 ) ; }","['Delete TypeAccess', 'Delete FieldRead', 'Delete Invocation']",485,['Delete Invocation'],"['TypeAccess', 'FieldRead', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
415,415,"public void METHOD_1 ( ) { METHOD_2 ( true , false , true , true , false , false ) ; METHOD_3 ( VAR_1 ) ; }","public void METHOD_1 ( ) { METHOD_2 ( true , false , true , true , false ) ; METHOD_3 ( VAR_1 ) ; }",['Delete Literal'],487,['Delete Invocation'],['Literal'],['Invocation'],Partial Match,0.0,0.0,0.0,0.0,0,1,1
416,416,public void METHOD_1 ( ) throws java.lang.Exception { if ( VAR_1 . METHOD_2 ( STRING_1 ) ) METHOD_3 ( ) ; else if ( ( VAR_2 ) == null ) METHOD_4 ( ) ; },public void METHOD_1 ( ) throws java.lang.Exception { java.lang.System.out.println ( VAR_1 ) ; if ( VAR_1 . METHOD_2 ( STRING_1 ) ) METHOD_3 ( ) ; else if ( ( VAR_2 ) == null ) METHOD_4 ( ) ; },"['Insert Invocation', 'Insert FieldRead', 'Insert TypeAccess', 'Insert TypeAccess']",490,"['Insert Invocation', 'Insert TypeAccess']","['Invocation', 'FieldRead', 'TypeAccess', 'TypeAccess']","['Invocation', 'TypeAccess']",GPT Missed Nodes,0.6666666666666666,1.0,0.5,0.6666666666666666,2,0,2
417,417,public void METHOD_1 ( ) { VAR_1 . info ( TYPE_1 . METHOD_2 ( VAR_2 ) ) ; VAR_1 . info ( TYPE_1 . METHOD_3 ( VAR_2 ) ) ; },public void METHOD_1 ( ) { VAR_1 . info ( METHOD_2 ( VAR_2 ) ) ; VAR_1 . info ( METHOD_3 ( VAR_2 ) ) ; },"['Update TypeAccess', 'Update TypeAccess']",491,['Delete TypeAccess'],"['TypeAccess', 'TypeAccess']",['TypeAccess'],Exact Match,1.0,0.0,0.0,0.0,0,1,2
418,418,public java.util.List < TYPE_1 > METHOD_1 ( TYPE_2 < TYPE_3 > VAR_1 ) { return METHOD_2 ( ) . METHOD_1 ( VAR_1 ) ; },public java.util.List < TYPE_1 > METHOD_1 ( TYPE_2 < TYPE_3 > VAR_1 ) { return null ; },"['Insert Literal', 'Delete Invocation', 'Delete VariableRead', 'Delete Invocation']",492,"['Update Invocation', 'Update Invocation']","['Literal', 'Invocation', 'VariableRead', 'Invocation']","['Invocation', 'Invocation']",GPT Missed Nodes,0.3333333333333333,0.0,0.0,0.0,0,2,4
419,419,"protected void METHOD_1 ( ) { VAR_1 . i ( VAR_2 , STRING_1 ) ; METHOD_2 ( ) ; METHOD_3 ( ) ; }",protected void METHOD_1 ( ) { METHOD_2 ( ) ; METHOD_3 ( ) ; },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",493,['Delete Invocation'],"['TypeAccess', 'TypeAccess', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.25,0.4,1,0,3
420,420,public void METHOD_1 ( TYPE_1 VAR_1 ) { VAR_2 . METHOD_2 ( false ) ; VAR_3 . METHOD_2 ( true ) ; VAR_4 . METHOD_2 ( true ) ; VAR_5 . add ( VAR_6 ) ; VAR_7 . setText ( STRING_1 ) ; },public void METHOD_1 ( TYPE_1 VAR_1 ) { VAR_2 . METHOD_2 ( false ) ; VAR_3 . METHOD_2 ( true ) ; VAR_4 . METHOD_2 ( true ) ; VAR_5 . add ( VAR_6 ) ; },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",494,['Delete Invocation'],"['TypeAccess', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.3333333333333333,0.5,1,0,2
421,421,"private void METHOD_1 ( ) { VAR_1 . METHOD_2 ( VAR_2 ) ; VAR_3 . METHOD_2 ( VAR_2 ) ; VAR_4 . i ( STRING_1 , STRING_2 ) ; }",private void METHOD_1 ( ) { VAR_1 . METHOD_2 ( VAR_2 ) ; VAR_3 . METHOD_2 ( VAR_2 ) ; },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",495,['Delete Invocation'],"['TypeAccess', 'TypeAccess', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.25,0.4,1,0,3
422,422,"public void METHOD_1 ( boolean VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; if ( ( VAR_2 ) != null ) VAR_2 . METHOD_1 ( VAR_1 ) ; TYPE_1 . METHOD_2 ( VAR_3 , STRING_1 ) ; }","public void METHOD_1 ( boolean VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; TYPE_1 . METHOD_2 ( VAR_3 , STRING_1 ) ; }","['Delete FieldRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete Block', 'Delete If']",497,['Delete Invocation'],"['FieldRead', 'Literal', 'BinaryOperator', 'TypeAccess', 'VariableRead', 'Invocation', 'Block', 'If']",['Invocation'],GPT Missed Nodes,0.125,1.0,0.125,0.2222222222222222,1,0,7
423,423,"public void METHOD_1 ( long VAR_1 ) { if ( ( VAR_2 ) == null ) { return ; } VAR_2 . METHOD_2 ( VAR_3 , VAR_1 ) . METHOD_3 ( ) ; }","public void METHOD_1 ( long VAR_1 ) { VAR_2 . METHOD_2 ( VAR_3 , VAR_1 ) . METHOD_3 ( ) ; }","['Delete FieldRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete Return', 'Delete Block', 'Delete If']",498,['Delete Invocation'],"['FieldRead', 'Literal', 'BinaryOperator', 'Return', 'Block', 'If']",['Invocation'],Partial Match,0.0,0.0,0.0,0.0,0,1,6
