fixed,buggy,baseline_ast_gumtree,line_id_tp_dataset
"public void METHOD_1 ( ) throws java.lang.Exception { java.lang.String VAR_1 = STRING_1 ; java.io.File VAR_2 = new TYPE_1 ( VAR_1 ) . METHOD_2 ( ) ; VAR_3 . assertEquals ( STRING_2 , VAR_2 . METHOD_3 ( ) ) ; }","public void METHOD_1 ( ) throws java.lang.Exception { java.lang.String VAR_1 = STRING_1 ; java.io.File VAR_2 = TYPE_1 . METHOD_2 ( VAR_1 ) ; VAR_3 . assertEquals ( STRING_2 , VAR_2 . METHOD_3 ( ) ) ; }","['Insert TypeAccess', 'Move VariableRead', 'Delete ConstructorCall']",186
"private static void METHOD_1 ( ) { TYPE_1 VAR_1 = new TYPE_1 ( ) . METHOD_2 ( VAR_2 ) . METHOD_3 ( VAR_3 class ) ; TYPE_2 . METHOD_4 ( TYPE_3 . METHOD_5 ( VAR_4 ) , VAR_1 ) ; VAR_5 . info ( STRING_1 , VAR_4 ) ; }","private static void METHOD_1 ( ) { TYPE_1 VAR_1 = new TYPE_1 ( ) . METHOD_2 ( VAR_2 ) ; TYPE_2 . METHOD_4 ( TYPE_3 . METHOD_5 ( VAR_4 ) , VAR_1 ) ; VAR_5 . info ( STRING_1 , VAR_4 ) ; }","['Move Invocation', 'Delete TypeAccess', 'Delete Invocation']",188
"public void METHOD_1 ( android.view.View view ) { android.content.Intent VAR_1 = new android.content.Intent ( VAR_2 , VAR_3 class ) ; METHOD_2 ( VAR_1 ) ; }",public void METHOD_1 ( android.view.View view ) { },"['Delete TypeReference', 'Delete FieldRead', 'Delete FieldRead', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Invocation']",190
"public java.util.List < TYPE_1 > METHOD_1 ( int VAR_1 ) { java.util.List < TYPE_1 > VAR_2 = VAR_3 . query ( STRING_1 , VAR_4 , VAR_1 ) ; return VAR_2 ; }","public java.util.List < TYPE_1 > METHOD_1 ( int VAR_1 ) { return VAR_3 . query ( STRING_1 , VAR_4 , VAR_1 ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead']",191
"public void METHOD_1 ( TYPE_1 view , int VAR_1 , int VAR_2 , int VAR_3 ) { java.lang.String date = METHOD_2 ( TYPE_2 . METHOD_3 ( VAR_1 , VAR_2 , VAR_3 ) ) ; METHOD_4 ( date ) ; }","public void METHOD_1 ( TYPE_1 view , int VAR_1 , int VAR_2 , int VAR_3 ) { java.lang.String date = TYPE_2 . METHOD_3 ( VAR_1 , VAR_2 , VAR_3 ) ; METHOD_4 ( date ) ; }","['Move Invocation', 'Delete Invocation']",192
public java.lang.String METHOD_1 ( ) { byte [ ] VAR_1 = new byte [ INT_1 ] ; TYPE_1 VAR_2 = new TYPE_1 ( ) ; VAR_2 . METHOD_2 ( VAR_1 ) ; java.lang.String VAR_3 = TYPE_2 . METHOD_3 ( ) . METHOD_4 ( VAR_1 ) ; return VAR_3 ; },public java.lang.String METHOD_1 ( ) { byte [ ] VAR_1 = new byte [ INT_1 ] ; TYPE_1 VAR_2 = new TYPE_1 ( ) ; VAR_2 . METHOD_2 ( VAR_1 ) ; java.lang.String VAR_3 = new java.lang.String ( VAR_1 ) ; return VAR_3 ; },"['Insert ConstructorCall', 'Move VariableRead', 'Delete TypeAccess', 'Delete Invocation', 'Delete Invocation']",195
protected void METHOD_1 ( TYPE_1 VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; METHOD_2 ( VAR_2 ) ; android.widget.Button VAR_3 = ( ( android.widget.Button ) ( METHOD_3 ( VAR_4 ) ) ) ; VAR_5 . setText ( STRING_1 ) ; },protected void METHOD_1 ( TYPE_1 VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; METHOD_2 ( VAR_2 ) ; },"['Delete TypeReference', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation']",196
protected void METHOD_1 ( TYPE_1 VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; METHOD_2 ( VAR_2 ) ; TYPE_2 VAR_3 = ( ( TYPE_2 ) ( METHOD_3 ( VAR_4 ) ) ) ; METHOD_4 ( VAR_3 ) ; METHOD_5 ( ) . METHOD_6 ( VAR_5 ) ; },protected void METHOD_1 ( TYPE_1 VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; METHOD_2 ( VAR_2 ) ; },"['Delete TypeReference', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Invocation', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation']",197
"private void METHOD_1 ( ) { android.content.Intent intent = new android.content.Intent ( this , VAR_1 class ) ; TYPE_1 VAR_2 = new TYPE_1 ( ) ; VAR_2 . METHOD_2 ( VAR_3 , VAR_4 ) ; intent . METHOD_3 ( VAR_2 ) ; METHOD_4 ( intent , VAR_5 ) ; }","private void METHOD_1 ( ) { android.content.Intent intent = new android.content.Intent ( this , VAR_1 class ) ; METHOD_4 ( intent , VAR_5 ) ; }","['Delete TypeReference', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead', 'Delete VariableRead', 'Delete Invocation']",199
"void METHOD_1 ( TYPE_1 VAR_1 , TYPE_1 VAR_2 ) { if ( ( VAR_3 . METHOD_2 ( VAR_2 ) ) != ( - 1 ) ) { VAR_4 . remove ( VAR_1 ) ; VAR_4 . add ( VAR_3 . METHOD_2 ( VAR_2 ) , VAR_1 ) ; } }","void METHOD_1 ( TYPE_1 VAR_1 , TYPE_1 VAR_2 ) { VAR_4 . remove ( VAR_1 ) ; int index = VAR_3 . METHOD_2 ( VAR_2 ) ; if ( index != ( - 1 ) ) VAR_4 . add ( index , VAR_1 ) ; }","['Move Invocation', 'Insert LocalVariable', 'Insert TypeReference', 'Move Invocation', 'Insert VariableRead', 'Insert VariableRead', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation']",201
public java.lang.String METHOD_1 ( ) { java.lang.String VAR_1 = VAR_2 . METHOD_1 ( ) ; if ( VAR_3 . equals ( STRING_1 ) ) { return STRING_2 ; } return VAR_1 ; },public java.lang.String METHOD_1 ( ) { return VAR_2 . METHOD_1 ( ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete FieldRead', 'Delete Return', 'Delete Block', 'Delete If', 'Delete VariableRead']",202
protected void METHOD_1 ( TYPE_1 VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; METHOD_2 ( VAR_2 ) ; TYPE_2 VAR_3 = ( ( TYPE_2 ) ( METHOD_3 ( VAR_4 ) ) ) ; VAR_3 . METHOD_4 ( STRING_1 ) ; },protected void METHOD_1 ( TYPE_1 VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; METHOD_2 ( VAR_2 ) ; },"['Delete TypeReference', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation']",203
"public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 , int VAR_3 ) { java.lang.String VAR_4 = STRING_1 ; java.lang.String VAR_5 = STRING_2 ; VAR_1 . METHOD_2 ( VAR_4 ) ; VAR_1 . METHOD_2 ( VAR_5 ) ; METHOD_3 ( VAR_1 ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , int VAR_2 , int VAR_3 ) { java.lang.String VAR_4 = STRING_2 ; VAR_1 . METHOD_2 ( VAR_4 ) ; METHOD_3 ( VAR_1 ) ; }","['Update LocalVariable', 'Delete TypeReference', 'Delete FieldRead', 'Delete LocalVariable', 'Delete VariableRead', 'Delete VariableRead', 'Delete Invocation']",204
"public TYPE_1 < TYPE_2 > METHOD_1 ( ) { TYPE_1 < TYPE_2 > VAR_1 = VAR_2 . METHOD_2 ( STRING_1 ) . METHOD_3 ( new TYPE_2 ( STRING_2 , new TYPE_2 ( STRING_3 , INT_1 ) ) ) ; return VAR_1 ; }",public TYPE_1 < TYPE_2 > METHOD_1 ( ) { TYPE_1 < TYPE_2 > VAR_1 = VAR_2 . METHOD_2 ( STRING_1 ) . METHOD_3 ( ) ; return VAR_1 ; },"['Delete FieldRead', 'Delete FieldRead', 'Delete FieldRead', 'Delete ConstructorCall', 'Delete ConstructorCall']",205
public static void main ( java.lang.String [ ] args ) { TYPE_1 c = new TYPE_1 ( ) ; },public static void main ( java.lang.String [ ] args ) { },"['Delete TypeReference', 'Delete ConstructorCall', 'Delete LocalVariable']",207
public TYPE_1 METHOD_1 ( java.lang.String id ) { TYPE_1 n = VAR_1 . METHOD_1 ( id ) ; return n ; },public TYPE_1 METHOD_1 ( java.lang.String id ) { return VAR_1 . METHOD_1 ( id ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead']",208
public static void main ( java.lang.String [ ] args ) throws java.lang.Exception { TYPE_1 VAR_1 = new TYPE_1 ( STRING_1 ) ; },public static void main ( java.lang.String [ ] args ) throws java.lang.Exception { },"['Delete TypeReference', 'Delete FieldRead', 'Delete ConstructorCall', 'Delete LocalVariable']",210
"protected void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 response ) throws java.io.IOException , TYPE_3 { java.lang.String VAR_2 = VAR_1 . METHOD_2 ( STRING_1 ) ; java.lang.System.out.println ( VAR_2 ) ; METHOD_3 ( VAR_1 , response ) ; }","protected void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 response ) throws java.io.IOException , TYPE_3 { METHOD_3 ( VAR_1 , response ) ; }","['Delete TypeReference', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete FieldRead', 'Delete VariableRead', 'Delete Invocation']",212
"public void METHOD_1 ( ) { TYPE_1 VAR_1 = new TYPE_1 ( new TYPE_2 ( ) ) ; TYPE_3 VAR_2 = METHOD_2 ( ) ; VAR_3 . assertEquals ( FLOAT_1 , VAR_1 . METHOD_3 ( VAR_4 , TYPE_4 . METHOD_4 ( VAR_2 ) ) ) ; }",public void METHOD_1 ( ) { },"['Delete TypeReference', 'Delete ConstructorCall', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete TypeReference', 'Delete Invocation', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete VariableRead', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete Invocation', 'Delete Invocation']",213
"public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { java.lang.String VAR_2 = STRING_1 + ( VAR_3 . toString ( ) ) ; return new TYPE_1 ( VAR_1 , null , VAR_2 , TYPE_3 . METHOD_2 ( ) . toString ( ) ) ; }","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { return new TYPE_1 ( VAR_1 , null , null , null ) ; }","['Insert Literal', 'Insert Literal', 'Delete TypeReference', 'Delete FieldRead', 'Delete TypeAccess', 'Delete Invocation', 'Delete BinaryOperator', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation', 'Delete Invocation']",215
"public boolean METHOD_1 ( ) { TYPE_1 VAR_1 = TYPE_1 . METHOD_2 ( VAR_2 , TYPE_2 . METHOD_3 ( ) ) ; int VAR_3 = VAR_4 . compareTo ( VAR_1 ) ; return VAR_3 <= 0 ; }","public boolean METHOD_1 ( ) { TYPE_1 VAR_1 = TYPE_1 . METHOD_2 ( VAR_2 , TYPE_2 . METHOD_3 ( ) ) ; return ( VAR_4 . compareTo ( VAR_1 ) ) >= 0 ; }","['Update BinaryOperator', 'Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead']",216
TYPE_1 METHOD_1 ( java.lang.Integer VAR_1 ) throws TYPE_2 { TYPE_1 VAR_2 = this . VAR_3 . METHOD_2 ( VAR_1 ) . get ( ) ; VAR_2 . METHOD_3 ( VAR_3 . METHOD_4 ( VAR_2 ) ) ; return VAR_2 ; },TYPE_1 METHOD_1 ( java.lang.Integer VAR_1 ) throws TYPE_2 { return this . VAR_3 . METHOD_2 ( VAR_1 ) . get ( ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete Invocation', 'Delete VariableRead']",217
"public void METHOD_1 ( TYPE_1 VAR_1 , boolean VAR_2 ) { TYPE_2 . METHOD_2 ( VAR_3 , ( STRING_1 + VAR_2 ) ) ; int rows = VAR_4 . METHOD_3 ( VAR_1 , VAR_2 ) ; java.lang.System.out.println ( ( STRING_2 + rows ) ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , boolean VAR_2 ) { TYPE_2 . METHOD_2 ( VAR_3 , ( STRING_1 + VAR_2 ) ) ; VAR_4 . METHOD_3 ( VAR_1 , VAR_2 ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete FieldRead', 'Delete FieldRead', 'Delete VariableRead', 'Delete BinaryOperator', 'Delete Invocation']",218
"public void METHOD_1 ( int VAR_1 , java.lang.String VAR_2 , java.lang.String VAR_3 , java.lang.String VAR_4 , java.lang.String message ) { java.lang.System.out.println ( ( ( ( STRING_1 + message ) + STRING_2 ) + VAR_4 ) ) ; int VAR_5 = VAR_2 . METHOD_2 ( STRING_3 ) ; }","public void METHOD_1 ( int VAR_1 , java.lang.String VAR_2 , java.lang.String VAR_3 , java.lang.String VAR_4 , java.lang.String message ) { java.lang.System.out.println ( ( ( ( STRING_1 + message ) + STRING_2 ) + VAR_4 ) ) ; }","['Delete TypeReference', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable']",220
public boolean METHOD_1 ( TYPE_1 VAR_1 ) throws java.lang.Exception { TYPE_2 file = VAR_1 . METHOD_2 ( ) ; return ( file . METHOD_3 ( ) ) && ( VAR_2 . toString ( ) . METHOD_4 ( STRING_1 ) ) ; },public boolean METHOD_1 ( TYPE_1 VAR_1 ) throws java.lang.Exception { return VAR_1 . METHOD_2 ( ) . toString ( ) . METHOD_4 ( STRING_1 ) ; },"['Insert Invocation', 'Insert Invocation', 'Move TypeAccess', 'Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation', 'Delete Invocation', 'Delete BinaryOperator']",221
public void METHOD_1 ( ) throws java.lang.Exception { VAR_1 . METHOD_2 ( ) ; java.io.File file = new java.io.File ( VAR_2 ) ; VAR_3 . delete ( ) ; },public void METHOD_1 ( ) throws java.lang.Exception { },"['Delete TypeAccess', 'Delete Invocation', 'Delete TypeReference', 'Delete FieldRead', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete Invocation']",222
"public TYPE_1 METHOD_1 ( final java.lang.String VAR_1 , final java.lang.String VAR_2 ) { TYPE_2 VAR_3 = VAR_4 . METHOD_2 ( VAR_1 , VAR_2 ) ; if ( VAR_3 != null ) { return METHOD_3 ( VAR_3 ) ; } return null ; }","public TYPE_1 METHOD_1 ( final java.lang.String VAR_1 , final java.lang.String VAR_2 ) { return METHOD_3 ( VAR_4 . METHOD_2 ( VAR_1 , VAR_2 ) ) ; }","['Insert Invocation', 'Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete VariableRead', 'Delete Invocation', 'Delete Return', 'Delete Block', 'Delete If', 'Delete Literal']",223
public void METHOD_1 ( ) { if ( METHOD_2 ( ) ) { java.util.Calendar VAR_1 = java.util.Calendar.getInstance ( ) ; VAR_1 . METHOD_3 ( VAR_2 ) ; VAR_3 . METHOD_4 ( VAR_1 ) ; } },public void METHOD_1 ( ) { if ( METHOD_2 ( ) ) { VAR_3 . METHOD_4 ( ) ; } },"['Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead']",224
"public void METHOD_1 ( ) throws java.lang.Exception { java.lang.String VAR_1 = STRING_1 ; TYPE_1 VAR_2 = VAR_3 . METHOD_2 ( VAR_1 ) ; assertEquals ( FLOAT_1 , VAR_4 . METHOD_3 ( VAR_2 ) ) ; }","public void METHOD_1 ( ) throws java.lang.Exception { java.lang.String VAR_1 = STRING_1 ; assertEquals ( FLOAT_1 , VAR_4 . METHOD_3 ( VAR_3 . METHOD_2 ( VAR_1 ) ) ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead']",225
public TYPE_1 METHOD_1 ( ) { long VAR_1 = TYPE_2 . METHOD_2 ( VAR_2 ) ; if ( VAR_1 != 0 ) { return VAR_3 . METHOD_3 ( VAR_1 ) ; } return null ; },public TYPE_1 METHOD_1 ( ) { return VAR_3 . METHOD_3 ( TYPE_2 . METHOD_2 ( VAR_2 ) ) ; },"['Insert Invocation', 'Move TypeAccess', 'Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete VariableRead', 'Delete Invocation', 'Delete Return', 'Delete Block', 'Delete If', 'Delete Literal']",227
public synchronized java.util.Set < TYPE_1 > get ( TYPE_2 key ) { java.util.Set < TYPE_1 > VAR_1 = VAR_2 . get ( key ) ; if ( VAR_1 == null ) return VAR_3 ; return VAR_1 ; },public synchronized java.util.Set < TYPE_1 > get ( TYPE_2 key ) { return VAR_2 . get ( key ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete FieldRead', 'Delete Return', 'Delete Block', 'Delete If', 'Delete VariableRead']",228
private boolean METHOD_1 ( TYPE_1 node ) { java.lang.String state = node . METHOD_2 ( STRING_1 ) . toString ( ) ; java.lang.String target = VAR_1 . toString ( ) ; return VAR_2 . equals ( target ) ; },private boolean METHOD_1 ( TYPE_1 node ) { java.lang.String state = node . METHOD_2 ( STRING_1 ) ; java.lang.String target = VAR_1 . toString ( ) ; return VAR_2 . equals ( target ) ; },"['Move Invocation', 'Delete Invocation']",230
"public void METHOD_1 ( android.view.View VAR_1 ) { android.content.Intent intent = new android.content.Intent ( this , VAR_2 class ) ; intent . METHOD_2 ( VAR_3 ) ; METHOD_3 ( intent ) ; }","public void METHOD_1 ( android.view.View VAR_1 ) { android.content.Intent intent = new android.content.Intent ( this , VAR_2 class ) ; METHOD_3 ( intent ) ; }","['Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation']",233
public boolean contains ( TYPE_1 item ) { TYPE_2 VAR_1 = METHOD_1 ( ) ; if ( VAR_1 == null ) return false ; return VAR_2 . contains ( item ) ; },public boolean contains ( TYPE_1 item ) { return METHOD_1 ( ) . contains ( item ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete Literal', 'Delete Return', 'Delete Block', 'Delete If', 'Delete TypeAccess']",234
public java.util.List < TYPE_1 > METHOD_1 ( ) { TYPE_2 VAR_1 = METHOD_2 ( ) ; VAR_1 . METHOD_3 ( TYPE_3 . METHOD_4 ( STRING_1 ) ) ; return ( ( java.util.List < TYPE_1 > ) ( VAR_2 . list ( ) ) ) ; },public java.util.List < TYPE_1 > METHOD_1 ( ) { return null ; },"['Insert Literal', 'Delete TypeReference', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete Invocation', 'Delete TypeReference', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation']",235
"public TYPE_1 METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 ) { java.lang.String result = ( VAR_1 + STRING_1 ) + VAR_2 ; java.lang.System.out.println ( result ) ; return TYPE_1 . METHOD_2 ( result ) ; }","public java.lang.String METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 ) { return ( VAR_1 + STRING_1 ) + VAR_2 ; }","['Update TypeReference', 'Move BinaryOperator', 'Delete TypeReference', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete FieldRead', 'Delete VariableRead', 'Delete Invocation', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation']",236
"public static java.lang.String METHOD_1 ( ) { java.lang.System.out.println ( STRING_1 ) ; VAR_1 = new java.util.Scanner ( VAR_2 ) ; java.lang.String VAR_3 = VAR_1 . METHOD_2 ( ) . replaceAll ( STRING_2 , STRING_3 ) ; return VAR_3 ; }","public static java.lang.String METHOD_1 ( ) { java.lang.System.out.println ( STRING_1 ) ; VAR_1 = new java.util.Scanner ( VAR_2 ) ; java.lang.String VAR_3 = VAR_1 . METHOD_2 ( ) . toLowerCase ( ) . replaceAll ( STRING_2 , STRING_3 ) ; return VAR_3 ; }","['Insert Invocation', 'Move Invocation']",237
"protected static TYPE_1 METHOD_1 ( TYPE_2 VAR_1 , TYPE_3 VAR_2 ) throws java.lang.Exception { TYPE_1 VAR_3 = TYPE_4 . METHOD_2 ( ) . METHOD_1 ( VAR_1 , VAR_2 ) ; VAR_4 . add ( VAR_3 ) ; return VAR_3 ; }","protected static TYPE_1 METHOD_1 ( TYPE_2 VAR_1 , TYPE_3 VAR_2 ) throws java.lang.Exception { return TYPE_4 . METHOD_2 ( ) . METHOD_1 ( VAR_1 , VAR_2 ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete VariableRead']",239
public TYPE_1 METHOD_1 ( ) { TYPE_2 VAR_1 = build . METHOD_2 ( ) . METHOD_3 ( ) ; if ( VAR_1 == null ) { return VAR_2 ; } return VAR_1 ; },public TYPE_1 METHOD_1 ( ) { return build . METHOD_2 ( ) . METHOD_3 ( ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete FieldRead', 'Delete Return', 'Delete Block', 'Delete If', 'Delete VariableRead']",241
"public void METHOD_1 ( ) { final float VAR_1 = ( ( ( float ) ( VAR_2 . getInt ( VAR_3 , INT_1 ) ) ) / INT_2 ) * ( VAR_4 ) ; VAR_5 . METHOD_2 ( VAR_1 , VAR_1 ) ; VAR_6 . start ( ) ; }","public void METHOD_1 ( ) { final float VAR_1 = ( ( float ) ( VAR_2 . getInt ( VAR_3 , INT_1 ) ) ) / INT_2 ; VAR_5 . METHOD_2 ( VAR_1 , VAR_1 ) ; VAR_6 . start ( ) ; }","['Move BinaryOperator', 'Delete FieldRead', 'Delete BinaryOperator']",242
public void METHOD_1 ( ) { TYPE_1 VAR_1 = METHOD_2 ( STRING_1 ) ; METHOD_3 ( VAR_1 ) ; VAR_2 . assertTrue ( ( ( VAR_1 . METHOD_4 ( ) . get ( 0 ) . METHOD_5 ( ) . size ( ) ) == INT_1 ) ) ; },public void METHOD_1 ( ) { METHOD_3 ( METHOD_2 ( STRING_1 ) ) ; },"['Insert Invocation', 'Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Invocation', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete Literal', 'Delete Invocation', 'Delete Invocation', 'Delete Invocation', 'Delete FieldRead', 'Delete BinaryOperator', 'Delete Invocation']",243
protected TYPE_1 METHOD_1 ( ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_1 . METHOD_2 ( ) . METHOD_3 ( STRING_1 ) ; return VAR_1 ; },protected TYPE_1 METHOD_1 ( ) { return new TYPE_1 ( ) ; },"['Move ConstructorCall', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead']",244
public void METHOD_1 ( ) { TYPE_1 VAR_1 = METHOD_2 ( ) . METHOD_3 ( ) ; float VAR_2 = VAR_3 ; VAR_4 = VAR_2 ; METHOD_2 ( ) . METHOD_4 ( VAR_1 ) ; },public void METHOD_1 ( ) { TYPE_1 VAR_1 = METHOD_2 ( ) . METHOD_3 ( ) ; VAR_4 = 0.0F ; METHOD_2 ( ) . METHOD_4 ( VAR_1 ) ; },"['Insert Literal', 'Delete TypeReference', 'Delete FieldRead', 'Delete LocalVariable', 'Delete VariableRead']",245
public TYPE_1 METHOD_1 ( final java.lang.String status ) { TYPE_1 message = VAR_1 . METHOD_1 ( status ) ; return message ; },public TYPE_1 METHOD_1 ( final java.lang.String status ) { TYPE_1 message = VAR_1 ; },"['Insert FieldRead', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete VariableRead', 'Delete Return']",247
public boolean METHOD_1 ( TYPE_1 item ) { switch ( item . METHOD_2 ( ) ) { case VAR_1 : METHOD_3 ( ) ; return true ; default : return super . METHOD_1 ( item ) ; } },public boolean METHOD_1 ( TYPE_1 item ) { int id = item . METHOD_2 ( ) ; switch ( item . METHOD_2 ( ) ) { case VAR_1 : METHOD_3 ( ) ; return true ; default : return super . METHOD_1 ( item ) ; } },"['Insert LocalVariable', 'Insert TypeReference', 'Insert Invocation', 'Insert VariableRead']",248
public java.lang.String METHOD_1 ( java.lang.String id ) { TYPE_1 VAR_1 = VAR_2 . get ( VAR_3 . get ( id ) . METHOD_2 ( ) ) ; if ( VAR_1 != null ) return VAR_1 . METHOD_3 ( ) ; return null ; },public java.lang.String METHOD_1 ( java.lang.String id ) { return VAR_2 . get ( VAR_3 . get ( id ) . METHOD_2 ( ) ) . METHOD_3 ( ) ; },"['Insert Invocation', 'Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete VariableRead', 'Delete Invocation', 'Delete Return', 'Delete Block', 'Delete If', 'Delete Literal']",250
public java.util.List < java.lang.String > METHOD_1 ( java.lang.String VAR_1 ) { java.util.List < java.lang.String > names = new java.util.ArrayList ( VAR_2 . METHOD_2 ( VAR_1 ) ) ; VAR_3 . add ( VAR_4 ) ; return names ; },public java.util.List < java.lang.String > METHOD_1 ( java.lang.String VAR_1 ) { java.util.List < java.lang.String > names = VAR_2 . METHOD_2 ( VAR_1 ) ; VAR_3 . add ( VAR_4 ) ; return names ; },"['Move Invocation', 'Delete ConstructorCall']",251
public void delete ( TYPE_1 VAR_1 ) { TYPE_2 VAR_2 = VAR_3 . METHOD_1 ( ) ; VAR_2 . METHOD_2 ( ) ; VAR_4 . remove ( VAR_3 . METHOD_3 ( VAR_1 ) ) ; VAR_5 . commit ( ) ; },public void delete ( TYPE_1 VAR_1 ) { VAR_4 . remove ( VAR_3 . METHOD_3 ( VAR_1 ) ) ; },"['Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation']",253
